date,temp_min,temp_max,avg_temp
2024-01-01,-2.3,12.2,4.949999999999999
2024-01-02,-0.7,7.3,3.3
2024-01-03,-1.9,8.7,3.3999999999999995
2024-01-04,-1.0,14.2,6.6
2024-01-05,3.4,11.8,7.6000000000000005
2024-01-06,2.6,16.3,9.450000000000001
2024-01-07,6.7,10.9,8.8
2024-01-08,2.4,8.4,5.4
2024-01-09,-0.0,13.8,6.9
2024-01-10,4.7,15.0,9.85
2024-01-11,2.8,5.8,4.3
2024-01-12,-2.8,8.7,2.9499999999999997
2024-01-13,1.3,12.4,6.8500000000000005
2024-01-14,1.3,10.9,6.1000000000000005
2024-01-15,-2.7,2.1,-0.30000000000000004
2024-01-16,-3.7,0.0,-1.85
2024-01-17,-4.6,4.3,-0.1499999999999999
2024-01-18,-3.5,10.1,3.3
2024-01-19,-2.1,5.8,1.8499999999999999
2024-01-20,-3.5,4.7,0.6000000000000001
2024-01-21,-3.9,8.0,2.05
2024-01-22,-4.7,11.6,3.4499999999999997
2024-01-23,-0.4,10.4,5.0
2024-01-24,-0.8,10.3,4.75
2024-01-25,-1.4,6.8,2.7
2024-01-26,-4.1,2.4,-0.8499999999999999
2024-01-27,-4.6,6.4,0.9000000000000004
2024-01-28,0.0,13.7,6.85
2024-01-29,1.0,5.4,3.2
2024-01-30,0.3,5.2,2.75
2024-01-31,-1.7,3.2,0.7500000000000001
2024-02-01,-1.1,2.5,0.7
2024-02-02,-3.6,6.0,1.2
2024-02-03,-5.0,3.9,-0.55
2024-02-04,-2.9,5.5,1.3
2024-02-05,-3.7,8.1,2.1999999999999997
2024-02-06,-1.6,14.7,6.55
2024-02-07,3.1,10.3,6.7
2024-02-08,3.0,14.0,8.5
2024-02-09,1.6,18.2,9.9
2024-02-10,1.4,17.6,9.5
2024-02-11,5.3,17.9,11.6
2024-02-12,0.5,10.4,5.45
2024-02-13,-0.6,14.0,6.7
2024-02-14,1.9,19.1,10.5
2024-02-15,4.6,19.5,12.05
2024-02-16,-4.2,11.5,3.65
2024-02-17,-6.1,-1.4,-3.75
2024-02-18,-4.2,-0.9,-2.5500000000000003
2024-02-19,-4.4,0.4,-2.0
2024-02-20,-10.5,-0.3,-5.4
2024-02-21,-11.9,1.1,-5.4
2024-02-22,-9.3,2.3,-3.5000000000000004
2024-02-23,-2.3,4.1,0.8999999999999999
2024-02-24,-2.6,1.1,-0.75
2024-02-25,-3.3,1.7,-0.7999999999999999
2024-02-26,-3.2,6.1,1.4499999999999997
2024-02-27,-4.0,5.1,0.5499999999999998
2024-02-28,-3.3,5.4,1.0500000000000003
2024-02-29,-3.3,7.9,2.3000000000000003
2024-03-01,-0.3,5.8,2.75
2024-03-02,-0.7,2.7,1.0
2024-03-03,-2.8,2.2,-0.2999999999999998
2024-03-04,-4.5,6.6,1.0499999999999998
2024-03-05,-4.7,9.2,2.2499999999999996
2024-03-06,-2.8,9.2,3.1999999999999997
2024-03-07,0.3,12.2,6.25
2024-03-08,1.7,16.7,9.2
2024-03-09,4.6,12.7,8.649999999999999
2024-03-10,4.0,11.7,7.85
2024-03-11,3.1,19.0,11.05
2024-03-12,3.2,11.2,7.199999999999999
2024-03-13,0.6,7.9,4.25
2024-03-14,-5.4,2.3,-1.5500000000000003
2024-03-15,-7.1,7.9,0.40000000000000036
2024-03-16,-5.4,12.1,3.3499999999999996
2024-03-17,-3.7,17.5,6.9
2024-03-18,3.0,20.9,11.95
2024-03-19,5.5,22.1,13.8
2024-03-20,11.2,22.7,16.95
2024-03-21,9.8,17.0,13.4
2024-03-22,4.5,10.1,7.3
2024-03-23,1.8,17.9,9.85
2024-03-24,4.1,20.0,12.05
2024-03-25,7.3,24.3,15.8
2024-03-26,9.8,25.9,17.85
2024-03-27,11.4,21.2,16.3
2024-03-28,6.2,14.9,10.55
2024-03-29,4.1,9.3,6.7
2024-03-30,3.0,11.8,7.4
2024-03-31,1.5,14.3,7.9
2024-04-01,1.8,17.0,9.4
2024-04-02,2.4,16.0,9.2
2024-04-03,5.5,14.4,9.95
2024-04-04,4.1,19.1,11.600000000000001
2024-04-05,5.4,21.0,13.2
2024-04-06,7.9,15.0,11.45
2024-04-07,5.1,19.8,12.45
2024-04-08,7.1,22.9,15.0
2024-04-09,9.2,17.8,13.5
2024-04-10,5.5,20.5,13.0
2024-04-11,6.9,23.3,15.100000000000001
2024-04-12,13.0,18.9,15.95
2024-04-13,11.3,19.3,15.3
2024-04-14,10.8,20.7,15.75
2024-04-15,10.6,16.6,13.600000000000001
2024-04-16,10.6,18.4,14.5
2024-04-17,8.8,20.8,14.8
2024-04-18,9.7,22.9,16.299999999999997
2024-04-19,9.7,24.0,16.85
2024-04-20,12.5,25.4,18.95
2024-04-21,14.3,25.0,19.65
2024-04-22,14.2,24.9,19.549999999999997
2024-04-23,14.2,26.8,20.5
2024-04-24,13.9,27.5,20.7
2024-04-25,14.7,22.4,18.549999999999997
2024-04-26,13.2,22.7,17.95
2024-04-27,8.6,21.5,15.05
2024-04-28,4.3,14.8,9.55
2024-04-29,6.8,18.8,12.8
2024-04-30,11.3,21.0,16.15
2024-05-01,11.3,24.5,17.9
2024-05-02,12.0,25.7,18.85
2024-05-03,14.5,23.4,18.95
2024-05-04,15.0,23.2,19.1
2024-05-05,14.1,23.3,18.7
2024-05-06,11.6,24.7,18.15
2024-05-07,14.0,29.0,21.5
2024-05-08,16.0,30.9,23.45
2024-05-09,18.2,28.6,23.4
2024-05-10,16.1,23.4,19.75
2024-05-11,13.8,21.2,17.5
2024-05-12,11.6,23.4,17.5
2024-05-13,13.7,28.5,21.1
2024-05-14,15.5,34.5,25.0
2024-05-15,17.1,31.4,24.25
2024-05-16,18.1,24.1,21.1
2024-05-17,16.0,28.9,22.45
2024-05-18,15.9,23.9,19.9
2024-05-19,13.8,18.1,15.950000000000001
2024-05-20,12.5,21.7,17.1
2024-05-21,12.2,23.9,18.049999999999997
2024-05-22,13.1,24.8,18.95
2024-05-23,15.3,25.8,20.55
2024-05-24,16.4,21.9,19.15
2024-05-25,14.2,26.8,20.5
2024-05-26,8.8,17.7,13.25
2024-05-27,7.8,25.0,16.4
2024-05-28,12.3,26.6,19.450000000000003
2024-05-29,11.5,25.8,18.65
2024-05-30,10.7,27.4,19.049999999999997
2024-05-31,13.6,29.4,21.5
2024-06-01,13.6,31.1,22.35
2024-06-02,14.6,32.2,23.400000000000002
2024-06-03,15.5,31.4,23.45
2024-06-04,16.2,31.0,23.6
2024-06-05,18.1,30.9,24.5
2024-06-06,18.4,32.1,25.25
2024-06-07,16.9,33.0,24.95
2024-06-08,19.6,33.8,26.7
2024-06-09,18.3,35.8,27.049999999999997
2024-06-10,20.3,36.4,28.35
2024-06-11,21.2,35.8,28.5
2024-06-12,19.9,36.3,28.099999999999998
2024-06-13,20.5,33.9,27.2
2024-06-14,16.9,32.0,24.45
2024-06-15,17.8,34.2,26.0
2024-06-16,19.1,36.7,27.900000000000002
2024-06-17,21.7,34.6,28.15
2024-06-18,23.8,34.4,29.1
2024-06-19,21.1,35.8,28.45
2024-06-20,21.8,37.2,29.5
2024-06-21,24.4,34.9,29.65
2024-06-22,23.2,37.2,30.200000000000003
2024-06-23,21.9,35.1,28.5
2024-06-24,23.9,34.1,29.0
2024-06-25,21.2,35.2,28.200000000000003
2024-06-26,23.2,37.6,30.4
2024-06-27,22.8,40.3,31.549999999999997
2024-06-28,23.9,36.5,30.2
2024-06-29,22.4,36.4,29.4
2024-06-30,23.7,35.7,29.700000000000003
2024-07-01,21.7,32.2,26.950000000000003
2024-07-02,18.1,30.4,24.25
2024-07-03,16.8,34.2,25.5
2024-07-04,18.5,35.6,27.05
2024-07-05,19.4,36.2,27.8
2024-07-06,22.1,35.3,28.7
2024-07-07,19.6,34.2,26.900000000000002
2024-07-08,21.8,30.7,26.25
2024-07-09,20.6,34.8,27.7
2024-07-10,22.4,36.6,29.5
2024-07-11,21.7,36.0,28.85
2024-07-12,21.6,36.9,29.25
2024-07-13,24.2,35.0,29.6
2024-07-14,22.1,33.7,27.900000000000002
2024-07-15,22.3,32.9,27.6
2024-07-16,20.8,32.9,26.85
2024-07-17,21.6,35.0,28.3
2024-07-18,22.3,34.4,28.35
2024-07-19,22.8,34.7,28.75
2024-07-20,21.9,36.2,29.05
2024-07-21,23.3,36.6,29.950000000000003
2024-07-22,21.6,37.8,29.7
2024-07-23,24.5,38.0,31.25
2024-07-24,22.5,37.6,30.05
2024-07-25,23.8,39.3,31.549999999999997
2024-07-26,24.0,40.7,32.35
2024-07-27,26.0,39.7,32.85
2024-07-28,25.8,39.4,32.6
2024-07-29,23.6,38.3,30.95
2024-07-30,23.1,37.6,30.35
2024-07-31,23.6,38.9,31.25
2024-08-01,26.0,41.0,33.5
2024-08-02,25.9,39.8,32.849999999999994
2024-08-03,25.3,37.4,31.35
2024-08-04,23.8,37.8,30.799999999999997
2024-08-05,23.0,38.6,30.8
2024-08-06,22.5,37.8,30.15
2024-08-07,22.3,38.8,30.549999999999997
2024-08-08,22.8,40.3,31.549999999999997
2024-08-09,24.1,40.8,32.45
2024-08-10,26.1,35.2,30.650000000000002
2024-08-11,21.1,36.1,28.6
2024-08-12,21.8,37.2,29.5
2024-08-13,22.9,39.1,31.0
2024-08-14,24.9,40.5,32.7
2024-08-15,26.0,40.5,33.25
2024-08-16,26.0,35.4,30.7
2024-08-17,22.6,34.7,28.650000000000002
2024-08-18,20.3,32.4,26.35
2024-08-19,17.7,32.5,25.1
2024-08-20,17.8,33.3,25.549999999999997
2024-08-21,18.1,33.8,25.95
