date,currency,rate,diff
30.12.2021,USD,10837.66,27.44
30.12.2021,EUR,12224.88,-25.26
30.12.2021,RUB,147.07,0.24
30.12.2021,USD,10837.66,27.44
30.12.2021,EUR,12224.88,-25.26
30.12.2021,RUB,147.07,0.24
30.12.2021,USD,10837.66,27.44
30.12.2021,EUR,12224.88,-25.26
30.12.2021,RUB,147.07,0.24
30.12.2021,USD,10837.66,27.44
30.12.2021,EUR,12224.88,-25.26
30.12.2021,RUB,147.07,0.24
05.01.2022,USD,10819.67,-17.99
05.01.2022,EUR,12228.39,3.51
05.01.2022,RUB,144.66,-2.41
06.01.2022,USD,10812.0,-7.67
06.01.2022,EUR,12225.13,-3.26
06.01.2022,RUB,142.6,-2.06
07.01.2022,USD,10805.43,-6.57
07.01.2022,EUR,12216.62,-8.51
07.01.2022,RUB,140.95,-1.65
08.01.2022,USD,10818.05,12.62
08.01.2022,EUR,12240.62,24.0
08.01.2022,RUB,142.94,1.99
08.01.2022,USD,10818.05,12.62
08.01.2022,EUR,12240.62,24.0
08.01.2022,RUB,142.94,1.99
10.01.2022,USD,10836.21,18.16
10.01.2022,EUR,12311.02,70.4
10.01.2022,RUB,143.1,0.16
11.01.2022,USD,10840.02,3.81
11.01.2022,EUR,12278.49,-32.53
11.01.2022,RUB,144.65,1.55
12.01.2022,USD,10855.02,15.0
12.01.2022,EUR,12303.08,24.59
12.01.2022,RUB,144.92,0.27
13.01.2022,USD,10860.17,5.15
13.01.2022,EUR,12345.84,42.76
13.01.2022,RUB,145.9,0.98
14.01.2022,USD,10852.04,-8.13
14.01.2022,EUR,12449.46,103.62
14.01.2022,RUB,145.45,-0.45
14.01.2022,USD,10852.04,-8.13
14.01.2022,EUR,12449.46,103.62
14.01.2022,RUB,145.45,-0.45
14.01.2022,USD,10852.04,-8.13
14.01.2022,EUR,12449.46,103.62
14.01.2022,RUB,145.45,-0.45
17.01.2022,USD,10839.97,-12.07
17.01.2022,EUR,12420.44,-29.02
17.01.2022,RUB,142.48,-2.97
18.01.2022,USD,10824.97,-15.0
18.01.2022,EUR,12366.45,-53.99
18.01.2022,RUB,141.58,-0.9
19.01.2022,USD,10809.74,-15.23
19.01.2022,EUR,12317.7,-48.75
19.01.2022,RUB,141.04,-0.54
20.01.2022,USD,10817.25,7.51
20.01.2022,EUR,12266.76,-50.94
20.01.2022,RUB,141.38,0.34
21.01.2022,USD,10835.07,17.82
21.01.2022,EUR,12295.64,28.88
21.01.2022,RUB,141.54,0.16
21.01.2022,USD,10835.07,17.82
21.01.2022,EUR,12295.64,28.88
21.01.2022,RUB,141.54,0.16
21.01.2022,USD,10835.07,17.82
21.01.2022,EUR,12295.64,28.88
21.01.2022,RUB,141.54,0.16
24.01.2022,USD,10845.02,9.95
24.01.2022,EUR,12297.17,1.53
24.01.2022,RUB,141.68,0.14
25.01.2022,USD,10825.0,-20.02
25.01.2022,EUR,12260.4,-36.77
25.01.2022,RUB,138.65,-3.03
26.01.2022,USD,10818.0,-7.0
26.01.2022,EUR,12210.28,-50.12
26.01.2022,RUB,137.69,-0.96
27.01.2022,USD,10803.97,-14.03
27.01.2022,EUR,12194.44,-15.84
27.01.2022,RUB,136.82,-0.87
28.01.2022,USD,10804.0,0.03
28.01.2022,EUR,12097.24,-97.2
28.01.2022,RUB,137.23,0.41
28.01.2022,USD,10804.0,0.03
28.01.2022,EUR,12097.24,-97.2
28.01.2022,RUB,137.23,0.41
28.01.2022,USD,10804.0,0.03
28.01.2022,EUR,12097.24,-97.2
28.01.2022,RUB,137.23,0.41
31.01.2022,USD,10815.16,11.16
31.01.2022,EUR,12040.52,-56.72
31.01.2022,RUB,138.77,1.54
01.02.2022,USD,10804.86,-10.3
01.02.2022,EUR,12074.43,33.91
01.02.2022,RUB,139.49,0.72
02.02.2022,USD,10813.0,8.14
02.02.2022,EUR,12176.52,102.09
02.02.2022,RUB,140.38,0.89
03.02.2022,USD,10825.07,12.07
03.02.2022,EUR,12225.83,49.31
03.02.2022,RUB,141.81,1.43
04.02.2022,USD,10835.21,10.14
04.02.2022,EUR,12227.53,1.7
04.02.2022,RUB,141.48,-0.33
04.02.2022,USD,10835.21,10.14
04.02.2022,EUR,12227.53,1.7
04.02.2022,RUB,141.48,-0.33
04.02.2022,USD,10835.21,10.14
04.02.2022,EUR,12227.53,1.7
04.02.2022,RUB,141.48,-0.33
07.02.2022,USD,10853.02,17.81
07.02.2022,EUR,12441.9,214.37
07.02.2022,RUB,142.87,1.39
08.02.2022,USD,10855.11,2.09
08.02.2022,EUR,12400.88,-41.02
08.02.2022,RUB,143.71,0.84
09.02.2022,USD,10840.11,-15.0
09.02.2022,EUR,12364.23,-36.65
09.02.2022,RUB,143.81,0.1
10.02.2022,USD,10835.0,-5.11
10.02.2022,EUR,12381.15,16.92
10.02.2022,RUB,144.91,1.1
11.02.2022,USD,10851.24,16.24
11.02.2022,EUR,12418.16,37.01
11.02.2022,RUB,145.21,0.3
11.02.2022,USD,10851.24,16.24
11.02.2022,EUR,12418.16,37.01
11.02.2022,RUB,145.21,0.3
11.02.2022,USD,10851.24,16.24
11.02.2022,EUR,12418.16,37.01
11.02.2022,RUB,145.21,0.3
14.02.2022,USD,10860.64,9.4
14.02.2022,EUR,12367.01,-51.15
14.02.2022,RUB,144.73,-0.48
15.02.2022,USD,10844.02,-16.62
15.02.2022,EUR,12266.76,-100.25
15.02.2022,RUB,140.35,-4.38
16.02.2022,USD,10837.16,-6.86
16.02.2022,EUR,12296.93,30.17
16.02.2022,RUB,143.33,2.98
17.02.2022,USD,10845.08,7.92
17.02.2022,EUR,12339.53,42.6
17.02.2022,RUB,144.27,0.94
18.02.2022,USD,10856.41,11.33
18.02.2022,EUR,12335.05,-4.48
18.02.2022,RUB,142.91,-1.36
18.02.2022,USD,10856.41,11.33
18.02.2022,EUR,12335.05,-4.48
18.02.2022,RUB,142.91,-1.36
18.02.2022,USD,10856.41,11.33
18.02.2022,EUR,12335.05,-4.48
18.02.2022,RUB,142.91,-1.36
21.02.2022,USD,10841.22,-15.19
21.02.2022,EUR,12327.55,-7.5
21.02.2022,RUB,143.12,0.21
22.02.2022,USD,10888.07,46.85
22.02.2022,EUR,12373.2,45.65
22.02.2022,RUB,141.57,-1.55
23.02.2022,USD,10869.8,-18.27
23.02.2022,EUR,12303.53,-69.67
23.02.2022,RUB,136.24,-5.33
24.02.2022,USD,10840.28,-29.52
24.02.2022,EUR,12310.22,6.69
24.02.2022,RUB,136.41,0.17
25.02.2022,USD,10850.85,10.57
25.02.2022,EUR,12165.97,-144.25
25.02.2022,RUB,128.7,-7.71
25.02.2022,USD,10850.85,10.57
25.02.2022,EUR,12165.97,-144.25
25.02.2022,RUB,128.7,-7.71
25.02.2022,USD,10850.85,10.57
25.02.2022,EUR,12165.97,-144.25
25.02.2022,RUB,128.7,-7.71
28.02.2022,USD,10860.0,9.15
28.02.2022,EUR,12143.65,-22.32
28.02.2022,RUB,130.06,1.36
01.03.2022,USD,10872.41,12.41
01.03.2022,EUR,12154.27,10.62
01.03.2022,RUB,108.6,-21.46
02.03.2022,USD,10861.8,-10.61
02.03.2022,EUR,12161.96,7.69
02.03.2022,RUB,115.11,6.51
03.03.2022,USD,10887.83,26.03
03.03.2022,EUR,12066.98,-94.98
03.03.2022,RUB,99.73,-15.38
04.03.2022,USD,10900.25,12.42
04.03.2022,EUR,12077.48,10.5
04.03.2022,RUB,93.04,-6.69
04.03.2022,USD,10900.25,12.42
04.03.2022,EUR,12077.48,10.5
04.03.2022,RUB,93.04,-6.69
04.03.2022,USD,10900.25,12.42
04.03.2022,EUR,12077.48,10.5
04.03.2022,RUB,93.04,-6.69
07.03.2022,USD,10910.43,10.18
07.03.2022,EUR,12017.84,-59.64
07.03.2022,RUB,99.1,6.06
07.03.2022,USD,10910.43,10.18
07.03.2022,EUR,12017.84,-59.64
07.03.2022,RUB,99.1,6.06
09.03.2022,USD,10897.27,-13.16
09.03.2022,EUR,11831.17,-186.67
09.03.2022,RUB,79.89,-19.21
10.03.2022,USD,10918.68,21.41
10.03.2022,EUR,11977.79,146.62
10.03.2022,RUB,80.58,0.69
11.03.2022,USD,10957.36,38.68
11.03.2022,EUR,12096.93,119.14
11.03.2022,RUB,92.02,11.44
11.03.2022,USD,10957.36,38.68
11.03.2022,EUR,12096.93,119.14
11.03.2022,RUB,92.02,11.44
11.03.2022,USD,10957.36,38.68
11.03.2022,EUR,12096.93,119.14
11.03.2022,RUB,92.02,11.44
14.03.2022,USD,10998.06,40.7
14.03.2022,EUR,12062.67,-34.26
14.03.2022,RUB,94.79,2.77
15.03.2022,USD,11033.03,34.97
15.03.2022,EUR,12116.47,53.8
15.03.2022,RUB,97.81,3.02
16.03.2022,USD,11150.12,117.09
16.03.2022,EUR,12270.71,154.24
16.03.2022,RUB,99.26,1.45
17.03.2022,USD,11330.38,180.26
17.03.2022,EUR,12448.69,177.98
17.03.2022,RUB,105.15,5.89
18.03.2022,USD,11571.99,241.61
18.03.2022,EUR,12792.83,344.14
18.03.2022,RUB,110.56,5.41
18.03.2022,USD,11571.99,241.61
18.03.2022,EUR,12792.83,344.14
18.03.2022,RUB,110.56,5.41
18.03.2022,USD,11571.99,241.61
18.03.2022,EUR,12792.83,344.14
18.03.2022,RUB,110.56,5.41
18.03.2022,USD,11571.99,241.61
18.03.2022,EUR,12792.83,344.14
18.03.2022,RUB,110.56,5.41
18.03.2022,USD,11571.99,241.61
18.03.2022,EUR,12792.83,344.14
18.03.2022,RUB,110.56,5.41
18.03.2022,USD,11571.99,241.61
18.03.2022,EUR,12792.83,344.14
18.03.2022,RUB,110.56,5.41
24.03.2022,USD,11509.59,-62.4
24.03.2022,EUR,12726.15,-66.68
24.03.2022,RUB,113.39,2.83
25.03.2022,USD,11483.91,-25.68
25.03.2022,EUR,12618.52,-107.63
25.03.2022,RUB,118.85,5.46
25.03.2022,USD,11483.91,-25.68
25.03.2022,EUR,12618.52,-107.63
25.03.2022,RUB,118.85,5.46
25.03.2022,USD,11483.91,-25.68
25.03.2022,EUR,12618.52,-107.63
25.03.2022,RUB,118.85,5.46
28.03.2022,USD,11486.87,2.96
28.03.2022,EUR,12641.3,22.78
28.03.2022,RUB,116.62,-2.23
29.03.2022,USD,11474.3,-12.57
29.03.2022,EUR,12598.78,-42.52
29.03.2022,RUB,117.53,0.91
30.03.2022,USD,11442.67,-31.63
30.03.2022,EUR,12630.42,31.64
30.03.2022,RUB,128.57,11.04
31.03.2022,USD,11400.21,-42.46
31.03.2022,EUR,12707.81,77.39
31.03.2022,RUB,136.08,7.51
01.04.2022,USD,11395.02,-5.19
01.04.2022,EUR,12661.01,-46.8
01.04.2022,RUB,139.18,3.1
01.04.2022,USD,11395.02,-5.19
01.04.2022,EUR,12661.01,-46.8
